SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1997-98,1610612748,Miami Heat,82,55,27,0.671,48.2,100.5,29.5,0.669,8.1,5.2,16.4,14.5,10.8,36.8,1,8,8,8,24,6,9,11,15,11,11,14,4,7
1997-98,1610612749,Milwaukee Bucks,82,36,46,0.439,48.6,103.7,27.3,0.664,8.9,4.4,18.9,13.6,16.8,43.1,1,20,20,20,5,19,23,15,8,22,27,5,27,23
1997-98,1610612750,Minnesota Timberwolves,82,45,37,0.549,48.6,105.5,29.6,0.657,7.8,5.2,16.4,16.3,14.0,42.2,1,13,13,13,4,24,8,18,22,13,9,26,20,20
1997-98,1610612751,New Jersey Nets,82,43,39,0.524,48.5,104.3,26.1,0.65,9.5,3.8,16.0,15.2,13.6,44.8,1,14,14,14,7,21,28,21,4,26,7,20,16,26
1997-98,1610612752,New York Knicks,82,43,39,0.524,48.4,98.8,29.7,0.703,7.7,3.4,15.3,12.2,9.3,32.4,1,14,14,14,10,4,7,1,23,29,3,1,1,1
1997-98,1610612753,Orlando Magic,82,41,41,0.5,48.4,102.2,26.9,0.646,7.9,5.4,16.8,14.5,14.8,41.0,1,17,17,17,10,10,25,22,17,10,14,16,23,17
1997-98,1610612755,Philadelphia 76ers,82,31,51,0.378,48.2,103.3,28.0,0.66,8.9,6.0,18.5,14.6,14.6,37.9,1,22,22,22,26,16,20,16,9,5,22,17,21,10
1997-98,1610612756,Phoenix Suns,82,56,26,0.683,48.7,100.6,29.9,0.664,9.2,5.2,16.3,14.5,11.8,39.8,1,6,6,6,1,7,5,13,6,11,8,15,6,13
1997-98,1610612757,Portland Trail Blazers,82,46,36,0.561,48.4,100.8,30.8,0.685,7.1,5.7,17.5,12.3,13.4,36.2,1,12,12,12,10,8,2,4,28,7,18,2,15,5
1997-98,1610612758,Sacramento Kings,82,27,55,0.329,48.1,105.0,28.1,0.643,7.3,5.1,17.5,15.1,15.7,44.4,1,23,23,23,27,22,19,23,27,14,17,18,25,25
1997-98,1610612759,San Antonio Spurs,82,56,26,0.683,48.4,98.0,32.2,0.696,6.3,6.9,16.6,13.5,10.6,33.7,1,6,6,6,19,2,1,2,29,2,12,4,3,2
1997-98,1610612760,Seattle SuperSonics,82,61,21,0.744,48.2,102.3,27.1,0.635,9.8,4.6,15.5,15.4,13.0,38.9,1,3,3,3,24,12,24,27,3,19,5,23,10,12
1997-98,1610612761,Toronto Raptors,82,16,66,0.195,48.6,108.9,26.2,0.602,9.4,8.1,19.3,18.0,22.5,48.4,1,28,28,28,3,26,27,29,5,1,28,29,29,29
1997-98,1610612762,Utah Jazz,82,62,20,0.756,48.2,103.8,29.3,0.684,7.9,5.0,17.0,13.6,10.1,35.3,1,1,1,1,22,20,11,5,18,16,15,5,2,4
1997-98,1610612763,Vancouver Grizzlies,82,19,63,0.232,48.4,110.2,28.2,0.652,7.5,4.3,19.6,15.2,17.9,43.0,1,25,25,25,10,28,18,20,26,24,29,21,28,22
1997-98,1610612764,Washington Wizards,82,42,40,0.512,48.3,103.2,28.5,0.673,8.4,4.6,15.4,14.3,13.7,42.8,1,16,16,16,20,14,14,8,12,18,4,11,17,21
1998-99,1610612737,Atlanta Hawks,50,31,19,0.62,48.3,95.3,30.0,0.701,6.9,5.2,15.0,11.7,10.6,31.7,1,7,7,7,17,2,9,1,27,13,4,1,7,3
1998-99,1610612738,Boston Celtics,50,19,31,0.38,48.6,100.8,29.2,0.666,9.1,5.1,18.2,14.8,14.5,42.4,1,22,22,22,5,14,13,23,4,15,27,25,26,24
1998-99,1610612766,Charlotte Hornets,50,26,24,0.52,48.6,100.4,29.9,0.678,8.9,4.9,18.3,13.8,13.8,37.7,1,16,16,16,5,13,10,10,9,16,28,19,24,16
1998-99,1610612741,Chicago Bulls,50,13,37,0.26,48.3,101.7,27.9,0.684,8.7,3.4,17.7,12.0,12.6,38.5,1,27,27,27,18,20,23,6,12,29,24,2,15,18
1998-99,1610612739,Cleveland Cavaliers,50,22,28,0.44,48.2,100.1,26.3,0.656,9.0,4.1,17.0,13.8,11.4,35.7,1,20,20,20,19,12,28,25,5,23,20,18,8,12
1998-99,1610612742,Dallas Mavericks,50,19,31,0.38,48.3,103.0,29.6,0.673,7.0,5.8,15.7,13.4,13.2,39.2,1,22,22,22,16,25,12,15,26,4,7,16,21,21
1998-99,1610612743,Denver Nuggets,50,14,36,0.28,48.1,108.6,27.8,0.66,7.5,5.5,16.2,13.6,13.0,44.4,1,26,26,26,27,29,24,24,25,8,12,17,18,27
1998-99,1610612765,Detroit Pistons,50,29,21,0.58,48.2,98.4,28.2,0.697,8.9,4.2,16.0,12.0,10.5,31.1,1,10,10,10,26,9,21,2,6,22,8,3,6,2
1998-99,1610612744,Golden State Warriors,50,21,29,0.42,48.5,98.9,31.2,0.69,8.3,4.4,16.3,13.4,10.4,38.6,1,21,21,21,8,10,4,3,17,20,15,15,4,20
1998-99,1610612745,Houston Rockets,50,31,19,0.62,48.3,101.0,30.8,0.678,7.7,5.2,17.3,13.8,12.4,37.6,1,7,7,7,13,15,5,11,24,13,22,20,13,15
1998-99,1610612754,Indiana Pacers,50,33,17,0.66,48.4,102.2,29.0,0.671,6.3,4.5,13.9,12.5,13.2,34.0,1,4,4,4,10,23,14,22,29,19,1,8,21,8
1998-99,1610612746,Los Angeles Clippers,50,9,41,0.18,48.5,107.8,25.9,0.646,8.5,4.7,17.5,14.9,15.5,46.6,1,28,28,28,8,28,29,28,14,17,23,26,27,29
1998-99,1610612747,Los Angeles Lakers,50,31,19,0.62,48.2,102.8,29.6,0.671,7.8,5.7,16.8,14.7,13.0,38.5,1,7,7,7,19,24,11,21,23,6,17,23,18,18
1998-99,1610612748,Miami Heat,50,33,17,0.66,48.1,97.1,30.2,0.683,6.5,6.1,16.5,12.8,9.0,31.7,1,4,4,4,27,8,6,7,28,3,16,10,2,3
1998-99,1610612749,Milwaukee Bucks,50,28,22,0.56,48.2,101.2,27.4,0.648,8.8,4.0,15.5,14.7,11.4,33.4,1,11,11,11,19,16,26,27,10,24,6,23,8,6
1998-99,1610612750,Minnesota Timberwolves,50,25,25,0.5,48.1,99.4,27.8,0.673,8.5,5.4,14.1,13.0,12.8,36.1,1,17,17,17,27,11,24,18,13,10,2,12,16,13
1998-99,1610612751,New Jersey Nets,50,16,34,0.32,48.2,101.2,28.7,0.682,9.8,5.5,16.1,13.0,12.4,42.5,1,25,25,25,19,17,17,8,3,9,10,13,14,25
1998-99,1610612752,New York Knicks,50,27,23,0.54,48.4,95.9,30.2,0.671,7.9,5.2,16.0,12.5,8.1,28.5,1,13,13,13,10,4,7,20,20,12,9,6,1,1
1998-99,1610612753,Orlando Magic,50,33,17,0.66,48.2,96.3,28.9,0.685,9.9,4.3,17.3,12.3,13.9,39.2,1,4,4,4,19,6,16,5,2,21,21,4,25,21
1998-99,1610612755,Philadelphia 76ers,50,28,22,0.56,48.6,95.5,28.6,0.679,10.8,5.4,16.9,12.3,11.8,33.0,1,11,11,11,5,3,18,9,1,11,18,4,11,5
1998-99,1610612756,Phoenix Suns,50,27,23,0.54,48.2,101.6,28.4,0.671,8.9,4.0,15.0,15.6,12.3,38.0,1,13,13,13,19,19,20,19,6,26,3,28,12,17
1998-99,1610612757,Portland Trail Blazers,50,35,15,0.7,48.7,96.2,31.4,0.687,8.2,5.8,15.0,12.9,10.5,35.0,1,3,3,3,4,5,3,4,18,5,5,11,5,11
1998-99,1610612758,Sacramento Kings,50,27,23,0.54,48.8,101.6,31.5,0.654,8.9,4.6,17.9,16.1,13.3,45.8,1,13,13,13,1,18,2,26,6,18,25,29,23,28
1998-99,1610612759,San Antonio Spurs,50,37,13,0.74,48.3,93.6,31.7,0.674,8.4,7.0,16.2,13.9,11.5,34.6,1,1,1,1,13,1,1,14,15,1,14,21,10,9
1998-99,1610612760,Seattle SuperSonics,50,25,25,0.5,48.4,104.2,28.4,0.673,7.9,4.0,16.2,14.5,12.9,42.0,1,17,17,17,10,26,19,16,21,25,11,22,17,23
1998-99,1610612761,Toronto Raptors,50,23,27,0.46,48.3,101.8,28.9,0.675,8.8,6.4,18.1,12.5,16.4,33.8,1,19,19,19,13,21,15,13,11,2,26,6,28,7
1998-99,1610612762,Utah Jazz,50,37,13,0.74,48.7,96.7,30.2,0.677,8.0,5.5,16.9,13.0,9.8,34.8,1,1,1,1,2,7,8,12,19,7,19,13,3,10
1998-99,1610612763,Vancouver Grizzlies,50,8,42,0.16,48.7,106.3,27.2,0.645,8.4,4.0,19.3,15.1,17.6,43.6,1,29,29,29,2,27,27,29,16,27,29,27,29,26
1998-99,1610612764,Washington Wizards,50,18,32,0.36,48.2,102.1,28.1,0.673,7.9,3.9,16.2,12.5,13.2,36.9,1,24,24,24,19,22,22,17,21,28,12,9,20,14
1999-00,1610612737,Atlanta Hawks,82,28,54,0.341,48.4,105.8,31.3,0.698,6.1,5.6,17.7,13.8,17.0,42.1,1,25,25,25,7,25,9,6,29,9,20,14,27,21
1999-00,1610612738,Boston Celtics,82,35,47,0.427,48.1,103.9,29.5,0.705,9.7,3.5,16.8,12.5,13.8,39.1,1,19,19,19,26,20,24,2,1,28,17,3,14,13
1999-00,1610612766,Charlotte Hornets,82,49,33,0.598,48.2,99.7,32.1,0.712,8.9,5.9,15.9,13.4,14.0,39.8,1,10,10,10,19,8,3,1,6,7,13,12,15,17
1999-00,1610612741,Chicago Bulls,82,17,65,0.207,48.3,102.8,28.3,0.676,7.9,4.7,21.0,12.9,13.4,39.1,1,28,28,28,17,15,28,22,14,19,29,6,13,14
1999-00,1610612739,Cleveland Cavaliers,82,32,50,0.39,48.4,102.2,30.5,0.685,8.7,4.4,19.5,14.5,13.2,37.7,1,22,22,22,6,14,14,17,9,23,28,24,10,11
1999-00,1610612742,Dallas Mavericks,82,40,42,0.488,48.1,105.2,29.8,0.647,7.2,5.1,15.5,16.8,15.2,42.9,1,18,18,18,28,24,20,29,23,15,9,29,21,25
1999-00,1610612743,Denver Nuggets,82,35,47,0.427,48.4,104.5,31.6,0.688,6.8,7.5,17.8,14.2,15.2,42.2,1,19,19,19,5,22,7,14,27,1,22,18,22,23
1999-00,1610612765,Detroit Pistons,82,42,40,0.512,48.4,103.8,30.0,0.694,8.1,3.3,17.4,14.3,12.7,37.0,1,15,15,15,7,18,18,10,12,29,18,21,9,8
1999-00,1610612744,Golden State Warriors,82,19,63,0.232,48.2,106.5,29.7,0.673,8.9,4.3,16.7,15.4,15.3,43.5,1,27,27,27,22,27,21,25,7,24,15,28,23,27
1999-00,1610612745,Houston Rockets,82,34,48,0.415,48.4,104.2,31.5,0.691,7.5,5.3,19.0,14.3,14.5,42.3,1,21,21,21,7,21,8,12,19,12,26,20,17,24
1999-00,1610612754,Indiana Pacers,82,56,26,0.683,48.1,101.7,31.9,0.691,6.8,5.1,15.0,13.5,14.6,42.0,1,3,3,3,27,13,6,13,26,14,6,13,20,20
1999-00,1610612746,Los Angeles Clippers,82,15,67,0.183,48.1,108.0,29.0,0.674,7.0,6.0,18.7,15.0,15.6,48.8,1,29,29,29,29,29,25,23,25,6,25,25,25,29
1999-00,1610612747,Los Angeles Lakers,82,67,15,0.817,48.3,96.4,33.4,0.705,7.5,6.5,14.3,13.2,12.4,34.8,1,1,1,1,14,1,1,3,19,4,1,9,7,4
1999-00,1610612748,Miami Heat,82,52,30,0.634,48.4,99.4,31.9,0.696,7.1,6.4,16.0,12.7,11.7,34.1,1,7,7,7,7,5,5,8,24,5,14,4,3,3
1999-00,1610612749,Milwaukee Bucks,82,42,40,0.512,48.4,106.2,28.9,0.667,8.2,4.6,16.8,14.3,14.2,37.0,1,15,15,15,2,26,26,27,10,21,16,22,16,9
1999-00,1610612750,Minnesota Timberwolves,82,50,32,0.61,48.5,101.7,30.1,0.696,7.6,5.4,14.8,13.2,13.3,38.5,1,8,8,8,1,12,16,9,17,11,4,8,12,12
1999-00,1610612751,New Jersey Nets,82,31,51,0.378,48.4,103.9,28.2,0.657,8.8,4.8,14.8,15.3,15.6,43.0,1,23,23,23,7,19,29,28,8,17,2,27,24,26
1999-00,1610612752,New York Knicks,82,50,32,0.61,48.4,99.5,30.7,0.699,6.3,4.3,15.9,12.4,10.5,31.8,1,8,8,8,7,6,13,5,28,25,12,2,2,1
1999-00,1610612753,Orlando Magic,82,41,41,0.5,48.2,100.3,31.0,0.669,9.1,5.7,18.3,14.5,14.6,39.8,1,17,17,17,22,9,12,26,5,8,24,23,19,16
1999-00,1610612755,Philadelphia 76ers,82,49,33,0.598,48.4,98.3,30.1,0.68,9.6,4.7,15.1,12.7,12.7,37.2,1,10,10,10,7,4,17,18,2,18,7,5,8,10
1999-00,1610612756,Phoenix Suns,82,53,29,0.646,48.3,97.3,31.2,0.676,9.1,5.3,17.4,14.1,12.0,36.0,1,5,5,5,14,3,11,21,4,13,19,17,5,7
1999-00,1610612757,Portland Trail Blazers,82,59,23,0.72,48.2,99.5,31.2,0.693,7.7,4.8,15.2,13.9,12.3,35.0,1,2,2,2,19,7,10,11,15,16,8,16,6,5
1999-00,1610612758,Sacramento Kings,82,44,38,0.537,48.3,100.7,32.1,0.679,9.6,4.6,18.3,14.2,17.0,42.2,1,14,14,14,18,10,3,19,3,21,23,19,28,22
1999-00,1610612759,San Antonio Spurs,82,53,29,0.646,48.4,97.1,32.5,0.703,7.5,6.7,15.5,13.3,11.8,35.3,1,5,5,5,2,2,2,4,18,2,10,10,4,6
