SEASON,TEAM_ID,TEAM_NAME,Restricted Area FGM,Restricted Area FGA,Restricted Area FG_PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG_PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG_PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG_PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG_PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG_PCT,Backcourt FGM,Backcourt FGA,Backcourt FG_PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG_PCT
2007-08,1610612740,New Orleans Hornets,14.6,24.0,0.611,5.5,12.8,0.429,10.8,26.4,0.409,1.4,3.1,0.453,1.2,2.7,0.431,5.0,13.8,0.367,0.1,0.4,0.143,2.6,5.9,0.443
2007-08,1610612752,New York Knicks,16.6,30.1,0.551,4.4,11.3,0.388,9.2,23.3,0.396,0.9,2.3,0.38,0.8,2.3,0.332,4.3,12.9,0.337,0.0,0.9,0.048,1.6,4.6,0.356
2007-08,1610612753,Orlando Magic,16.6,26.3,0.631,4.3,10.0,0.43,6.6,17.0,0.39,1.8,4.5,0.401,1.8,4.3,0.423,6.1,16.3,0.378,0.0,0.6,0.0,3.6,8.8,0.412
2007-08,1610612755,Philadelphia 76ers,18.3,30.0,0.61,4.2,10.5,0.401,11.1,29.0,0.382,0.5,1.5,0.328,0.7,1.7,0.431,2.5,8.2,0.301,0.0,0.8,0.043,1.2,3.2,0.382
2007-08,1610612756,Phoenix Suns,17.5,26.2,0.666,4.8,10.5,0.457,10.7,24.6,0.435,1.4,3.7,0.385,1.4,3.5,0.411,5.6,14.3,0.392,0.0,0.4,0.0,2.8,7.1,0.398
2007-08,1610612757,Portland Trail Blazers,10.6,17.9,0.595,4.9,11.3,0.431,13.7,33.3,0.412,1.4,3.4,0.42,1.3,3.4,0.388,3.8,10.2,0.371,0.0,0.8,0.034,2.7,6.7,0.404
2007-08,1610612758,Sacramento Kings,16.1,27.2,0.593,4.2,10.3,0.407,10.6,25.9,0.41,0.9,2.4,0.385,0.9,2.2,0.391,4.4,12.0,0.37,0.0,0.3,0.0,1.8,4.6,0.388
2007-08,1610612759,San Antonio Spurs,13.3,21.2,0.63,4.7,11.6,0.404,10.6,26.0,0.407,1.6,4.4,0.378,1.7,4.1,0.413,3.9,10.9,0.354,0.0,0.4,0.0,3.3,8.4,0.395
2007-08,1610612760,Seattle SuperSonics,15.2,26.0,0.583,5.3,13.3,0.401,13.8,35.0,0.393,0.6,1.8,0.358,0.4,1.1,0.41,2.8,8.5,0.323,0.0,0.3,0.0,1.1,2.8,0.377
2007-08,1610612761,Toronto Raptors,13.8,22.9,0.601,3.4,7.5,0.453,14.3,33.9,0.421,1.1,2.8,0.403,1.2,2.8,0.428,4.6,11.9,0.387,0.1,0.6,0.158,2.3,5.6,0.416
2007-08,1610612762,Utah Jazz,19.6,30.8,0.637,4.0,9.4,0.431,11.4,27.0,0.423,0.5,1.4,0.375,0.6,1.4,0.42,3.8,10.3,0.372,0.0,0.5,0.0,1.0,2.6,0.398
2007-08,1610612764,Washington Wizards,15.2,24.7,0.615,4.4,11.3,0.386,9.9,26.0,0.38,0.5,1.6,0.333,0.9,2.2,0.42,5.5,15.8,0.351,0.0,0.5,0.0,1.5,3.8,0.383
2008-09,1610612737,Atlanta Hawks,14.3,23.0,0.62,5.6,12.6,0.446,8.9,23.1,0.384,1.4,3.5,0.389,1.1,2.8,0.377,4.9,13.5,0.362,0.0,0.7,0.0,2.4,6.2,0.384
2008-09,1610612738,Boston Celtics,16.9,27.1,0.624,4.0,9.7,0.408,10.1,23.9,0.421,1.3,3.0,0.419,1.1,2.2,0.486,4.2,11.3,0.376,0.0,0.3,0.0,2.3,5.2,0.447
2008-09,1610612766,Charlotte Bobcats,16.3,29.1,0.559,3.8,9.3,0.409,8.9,22.1,0.403,1.2,2.9,0.411,0.7,2.1,0.345,4.1,11.1,0.365,0.0,0.5,0.056,1.9,5.0,0.383
2008-09,1610612741,Chicago Bulls,16.1,28.3,0.571,2.8,7.9,0.351,13.2,31.6,0.418,0.8,2.1,0.369,0.7,1.9,0.379,4.5,11.5,0.389,0.0,0.7,0.0,1.5,4.0,0.374
